timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658793851682,900,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145064,379,1,1,https://www.webstaurantstore.com/outlet.html,752,0,53
1658793868098,376,Product Page,200,OK,Thread Group 1-1,text,true,,46980,398,1,1,https://www.webstaurantstore.com/outlet/185WTR72AFHC/56033.html,376,0,0
1658793888090,911,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145326,379,1,1,https://www.webstaurantstore.com/outlet.html,738,0,0
1658793899611,240,Product Page,200,OK,Thread Group 1-1,text,true,,48405,398,1,1,https://www.webstaurantstore.com/outlet/415KML325MAJ/55903.html,240,0,0
1658793909087,858,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145220,379,1,1,https://www.webstaurantstore.com/outlet.html,711,0,0
1658793932649,407,Product Page,200,OK,Thread Group 1-1,text,true,,42500,395,1,1,https://www.webstaurantstore.com/outlet/922VBBE3F/55809.html,407,0,31
1658793936766,899,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145221,379,1,1,https://www.webstaurantstore.com/outlet.html,746,0,0
1658793939191,421,Product Page,200,OK,Thread Group 1-1,text,true,,42929,396,1,1,https://www.webstaurantstore.com/outlet/177CAG60TG/55085.html,420,0,0
1658793948693,944,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145115,379,1,1,https://www.webstaurantstore.com/outlet.html,792,0,0
1658793952517,408,Product Page,200,OK,Thread Group 1-1,text,true,,46386,395,1,1,https://www.webstaurantstore.com/outlet/177GMIX10/56085.html,407,0,0
1658793963141,966,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145220,379,1,1,https://www.webstaurantstore.com/outlet.html,811,0,0
1658793973099,408,Product Page,200,OK,Thread Group 1-1,text,true,,44625,394,1,1,https://www.webstaurantstore.com/outlet/720B530S/56071.html,407,0,0
1658793979281,938,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145070,379,1,1,https://www.webstaurantstore.com/outlet.html,775,0,0
1658793980865,375,Product Page,200,OK,Thread Group 1-1,text,true,,43014,396,1,1,https://www.webstaurantstore.com/outlet/177CAG60TG/55085.html,374,0,0
1658794009685,663,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145110,379,1,1,https://www.webstaurantstore.com/outlet.html,622,0,42
1658794032141,483,Product Page,200,OK,Thread Group 1-1,text,true,,64377,395,1,1,https://www.webstaurantstore.com/outlet/178A49RHC/56055.html,479,0,0
1658794040377,590,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145325,379,1,1,https://www.webstaurantstore.com/outlet.html,537,0,0
1658794047628,429,Product Page,200,OK,Thread Group 1-1,text,true,,54894,397,1,1,https://www.webstaurantstore.com/outlet/178GDC15HCB/55941.html,425,0,0
1658794048697,1073,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145856,379,1,1,https://www.webstaurantstore.com/outlet.html,687,0,0
1658794051994,230,Product Page,200,OK,Thread Group 1-1,text,true,,42630,395,1,1,https://www.webstaurantstore.com/outlet/922VBBE3F/55269.html,229,0,0
1658794067255,681,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145046,379,1,1,https://www.webstaurantstore.com/outlet.html,660,0,0
1658794080446,597,Product Page,200,OK,Thread Group 1-1,text,true,,67977,398,1,1,https://www.webstaurantstore.com/outlet/600S3101412G/55569.html,583,0,37
1658794087630,560,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145146,379,1,1,https://www.webstaurantstore.com/outlet.html,507,0,0
1658794115621,200,Product Page,200,OK,Thread Group 1-1,text,true,,46905,395,1,1,https://www.webstaurantstore.com/outlet/447APST48/55933.html,199,0,0
1658794123103,1119,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145324,379,1,1,https://www.webstaurantstore.com/outlet.html,740,0,0
1658794132100,160,Product Page,200,OK,Thread Group 1-1,text,true,,44514,397,1,1,https://www.webstaurantstore.com/outlet/351CPGWOKNG/54501.html,159,0,0
1658794135485,648,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145047,379,1,1,https://www.webstaurantstore.com/outlet.html,632,0,0
1658794137784,275,Product Page,200,OK,Thread Group 1-1,text,true,,44324,397,1,1,https://www.webstaurantstore.com/outlet/194BIN23022/56077.html,274,0,0
1658794142715,618,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145092,379,1,1,https://www.webstaurantstore.com/outlet.html,571,0,39
1658794162548,296,Product Page,200,OK,Thread Group 1-1,text,true,,45068,394,1,1,https://www.webstaurantstore.com/outlet/177EG36N/56067.html,296,0,0
1658794193739,584,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145422,379,1,1,https://www.webstaurantstore.com/outlet.html,541,0,0
1658794199354,179,Product Page,200,OK,Thread Group 1-1,text,true,,47868,396,1,1,https://www.webstaurantstore.com/outlet/178A49RGHC/56087.html,178,0,0
1658794205931,957,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145053,379,1,1,https://www.webstaurantstore.com/outlet.html,806,0,68
1658794214243,417,Product Page,200,OK,Thread Group 1-1,text,true,,43136,396,1,1,https://www.webstaurantstore.com/outlet/185SR1HC1S/56019.html,415,0,0
1658794224055,1036,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145646,379,1,1,https://www.webstaurantstore.com/outlet.html,784,0,0
